"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Population, male","SP.POP.TOTL.MA.IN","26574","27184","27570","27788","27938","28092","28257","28424","28582","28738","28885","29039","29206","29354","29463","29507","29475","29377","29269","29227","29291","29520","29888","30289","30609","30723","30589","30262","29975","30039","30658","31929","33753","35871","37915","39616","40906","41836","42520","43149","43841","44646","45486","46310","47025","47575","47937","48138","48251","48341","48467","48646","48868","49112","49367","49598","49824","50035","50244","",
"Afghanistan","AFG","Population, male","SP.POP.TOTL.MA.IN","4649576","4730252","4816049","4907033","5003250","5104766","5210120","5319118","5434457","5559838","5697018","5845348","6000891","6157843","6308578","6446271","6573732","6689150","6776022","6813203","6788279","6698727","6557678","6388703","6224256","6091891","5988521","5918154","5922667","6054347","6344615","6821674","7461094","8176786","8848710","9392624","9770489","10012241","10184269","10386587","10689506","11117752","11642104","12214634","12763723","13239686","13623891","13938967","14225722","14544059","14935754","15415362","15964873","16554276","17138798","17686166","18187045","18652134","19093281","",
"Angola","AGO","Population, male","SP.POP.TOTL.MA.IN","2763707","2807706","2844101","2873461","2896932","2916147","2930138","2940793","2956019","2986189","3038803","3116597","3217886","3336066","3461296","3586577","3709627","3832824","3957950","4088262","4226098","4371503","4523427","4681594","4845527","5014826","5189646","5370030","5555244","5744344","5936748","6132443","6331969","6535904","6745127","6960467","7182534","7411953","7649743","7897054","8155017","8423958","8704663","8999243","9310255","9639469","9987678","10354341","10738129","11137013","11549277","11974824","12413555","12863798","13323491","13791244","14266356","14749309","15241447","",
"Albania","ALB","Population, male","SP.POP.TOTL.MA.IN","827031","853181","879556","905788","932145","958102","983649","1009883","1039025","1069539","1097077","1123796","1151940","1179206","1206389","1234350","1261906","1290226","1317407","1343973","1371795","1399324","1428723","1458845","1489681","1520919","1551867","1585097","1616385","1658693","1682999","1662000","1636737","1610163","1586873","1570384","1562406","1561433","1564104","1565728","1563154","1550940","1544872","1535242","1524700","1514104","1503318","1491760","1481095","1472657","1467433","1466246","1467285","1468260","1468434","1466457","1465287","1464130","1460043","",
"Andorra","AND","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, male","SP.POP.TOTL.MA.IN","46481711","47755357","49069200","50427059","51834277","53294863","54815954","56398146","58031201","59700418","61398631","63116584","64866992","66690957","68643848","70763454","73066284","75535277","78132438","80802266","83503299","86221292","88964602","91741374","94567730","97454156","100395967","103381946","106407722","109468001","113558927","116729348","118837825","122110006","125312403","129328896","132289604","135179873","138028736","140939816","143974390","147140647","150435447","153893282","157551995","161431970","165553468","169893891","174379646","178898977","183372059","187772923","192114499","196403620","200661289","204904513","209121381","213300877","217492125","",
"United Arab Emirates","ARE","Population, male","SP.POP.TOTL.MA.IN","46269","52156","60379","69927","79377","87930","95053","101775","110744","125548","148726","180696","220538","267794","321526","380642","445896","516454","587607","653180","709051","753077","787187","816445","848172","887751","936912","994310","1058565","1127178","1198317","1273236","1353139","1436228","1520019","1603585","1690127","1783469","1884698","1994793","2117132","2238737","2364957","2538206","2815228","3229501","3807369","4517652","5266107","5922680","6395959","6648747","6713314","6653158","6565272","6520857","6537837","6595480","6680352","",
"Argentina","ARG","Population, male","SP.POP.TOTL.MA.IN","10331017","10489277","10646709","10803568","10960184","11116915","11273785","11431144","11590065","11751889","11917559","12087858","12262582","12440494","12619740","12799152","12978038","13157248","13338880","13525885","13720266","13922618","14131937","14346710","14564671","14784015","15004082","15224778","15445505","15665739","15884934","16103088","16319705","16533275","16741940","16944569","17140284","17329974","17516479","17703778","17894721","18090640","18290789","18493546","18696322","18897368","19095977","19293165","19490949","19692183","19846543","20082606","20318174","20552749","20785770","21016705","21245521","21472290","21696699","",
"Armenia","ARM","Population, male","SP.POP.TOTL.MA.IN","903002","937045","971494","1006013","1040243","1073912","1106797","1138846","1170242","1201276","1232158","1262935","1293462","1323512","1352769","1381021","1408108","1434128","1459383","1484314","1509206","1533514","1556870","1579965","1603713","1628365","1655209","1683010","1706507","1718651","1714815","1692674","1654931","1608298","1562323","1524014","1495574","1475294","1461447","1450803","1440917","1431993","1424854","1418318","1410959","1401873","1390219","1376498","1362800","1352072","1346353","1346389","1351250","1359255","1367900","1375330","1381014","1385371","1388616","",
"American Samoa","ASM","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
